main_transport_mode,distance_categories,Detour factor
Cars and motorbikes,Between 0.5 and 5 km,1.513757837485717
Cars and motorbikes,Between 5 and 10 km,1.5113216840655703
Cars and motorbikes,Between 10 and 25 km,1.6418429094533786
Cars and motorbikes,Between 25 and 50 km,1.8115018914118435
Cars and motorbikes,Between 50 and 75 km,1.8037563315720606
Cars and motorbikes,Between 75 and 100 km,1.7692438402592279
Cars and motorbikes,More than 100 km,1.6062522201343372
Other,Between 0.5 and 5 km,1.518929358992662
Other,Between 5 and 10 km,1.7154200125412173
Other,Between 10 and 25 km,1.9444652265953875
Other,Between 25 and 50 km,1.6436967682043497
Other,Between 50 and 75 km,1.4739712916683934
Other,Between 75 and 100 km,2.095376883611621
Other,More than 100 km,1.5480777381416528
Public transport,Between 0.5 and 5 km,1.3424276013646543
Public transport,Between 5 and 10 km,1.3958130413043766
Public transport,Between 10 and 25 km,1.344432809483088
Public transport,Between 25 and 50 km,1.3276993990490251
Public transport,Between 50 and 75 km,1.3061336833361763
Public transport,Between 75 and 100 km,1.3134790276037662
Public transport,More than 100 km,1.596208696909114
Walking and cycling,Between 0.5 and 5 km,1.7107722769912914
Walking and cycling,Between 5 and 10 km,1.6522316791973135
Walking and cycling,Between 10 and 25 km,1.9165142131346895
Walking and cycling,Between 25 and 50 km,3.764966878501929
Walking and cycling,Between 50 and 75 km,1.2115737580609212
Walking and cycling,Between 75 and 100 km,24.17289868967722
Walking and cycling,More than 100 km,3.7396259896259894
