main_transport_mode,distance_categories,Detour factor
Cars and motorbikes,Between 0.5 and 5 km,2.2182708696989373
Cars and motorbikes,Between 5 and 10 km,1.4429080916709442
Cars and motorbikes,Between 10 and 25 km,1.8883778875751769
Cars and motorbikes,Between 25 and 50 km,1.531012365319725
Cars and motorbikes,Between 50 and 75 km,1.6576284078818275
Cars and motorbikes,Between 75 and 100 km,1.5079144081699059
Cars and motorbikes,More than 100 km,1.499001470958432
Other,Between 0.5 and 5 km,2.255855522535104
Other,Between 5 and 10 km,1.9334451352589583
Other,Between 10 and 25 km,2.750508096101189
Other,Between 25 and 50 km,2.183630040183355
Other,Between 50 and 75 km,1.5882682693161334
Other,Between 75 and 100 km,1.8236829683488807
Other,More than 100 km,1.4757365369611262
Public transport,Between 0.5 and 5 km,2.9305603193357537
Public transport,Between 5 and 10 km,5.1346731614216194
Public transport,Between 10 and 25 km,18.934888945232544
Public transport,Between 25 and 50 km,2.1870487497333486
Public transport,Between 50 and 75 km,1.4045070410838085
Public transport,Between 75 and 100 km,68.1828082891511
Public transport,More than 100 km,1.4313762960274006
Walking and cycling,Between 0.5 and 5 km,2.1400314450900053
Walking and cycling,Between 5 and 10 km,3.0371190011948164
Walking and cycling,Between 10 and 25 km,3.6681318960893328
Walking and cycling,Between 25 and 50 km,6.296639320799628
Walking and cycling,Between 50 and 75 km,11.003836151816325
Walking and cycling,Between 75 and 100 km,1.5417503597567241
