main_transport_mode,distance_categories,Detour factor
Cars and motorbikes,Between 0.5 and 5 km,1.3465589614652407
Cars and motorbikes,Between 5 and 10 km,1.3153797370332954
Cars and motorbikes,Between 10 and 25 km,1.3361665247299384
Cars and motorbikes,Between 25 and 50 km,1.3757555326887079
Cars and motorbikes,Between 50 and 75 km,1.4255977787856886
Cars and motorbikes,Between 75 and 100 km,1.4142666729741515
Cars and motorbikes,More than 100 km,1.4233862460742914
Cycling,Between 0.5 and 5 km,1.3007789052586163
Cycling,Between 5 and 10 km,1.4340416960294942
Cycling,Between 10 and 25 km,1.415410809324626
Cycling,Between 25 and 50 km,1.5946129454476223
Cycling,Between 50 and 75 km,1.8694067376062762
Cycling,Between 75 and 100 km,1.349522661213255
Other,Between 0.5 and 5 km,1.3002590525951063
Other,Between 5 and 10 km,1.4298540528603951
Other,Between 10 and 25 km,1.457454783594202
Other,Between 25 and 50 km,1.3902121591638847
Other,Between 50 and 75 km,1.4202867489925817
Other,Between 75 and 100 km,1.435085948850578
Other,More than 100 km,1.3943999775884113
Public transport,Between 0.5 and 5 km,1.2059848424432464
Public transport,Between 5 and 10 km,1.2051332660922556
Public transport,Between 10 and 25 km,1.2051988154306816
Public transport,Between 25 and 50 km,1.2539801268627915
Public transport,Between 50 and 75 km,1.2768065809472633
Public transport,Between 75 and 100 km,1.212394460720587
Public transport,More than 100 km,1.2569428127242328
Walking,Between 0.5 and 5 km,1.2010808039397927
Walking,Between 5 and 10 km,2.0908670843876824
Walking,Between 10 and 25 km,1.909968099325051
Walking,Between 25 and 50 km,1.204515748089264
